	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
706	Alcoholic cirrhosis of liver	alcoholic liver cirrhosis	EFO:1000802	34375979	UKB	151130.0	EUR	Population CC		1866	alcoholic cirrhosis of liver	alcoholic liver cirrhosis	alcoholic cirrhosis of liver	alcoholic liver cirrhosis	alcoholic liver cirrhosis	EFO_1000802
75	Gilbert's syndrome	Gilbert syndrome	EFO:0005556	34375979	UKB	173113.0	EUR	Population CC		423	gilbert's syndrome	gilbert syndrome	gilbert's syndrome	gilbert syndrome	gilbert syndrome	EFO_0005556
887	Folate deficiency anaemia	folate deficiency	EFO:0001070	34375979	UKB	235517.0	EUR	Population CC		2284	folate deficiency anaemia	folate deficiency	folate deficiency anaemia	folate deficiency	folate deficiency	EFO_0001070
115	Cholesteatoma of middle ear	cholesteatoma of middle ear	EFO:1000678	34375979	UKB	269170.0	EUR	Population CC		553	cholesteatoma of middle ear	cholesteatoma of middle ear	cholesteatoma of middle ear	cholesteatoma of middle ear	cholesteatoma of middle ear	EFO_1000678
426	Disorders of autonomic nervous system	autonomic nervous system disease	EFO:0009532	34375979	UKB	214848.0	EUR	Population CC		1292	disorders of autonomic nervous system	autonomic nervous system disease	disorders of autonomic nervous system	autonomic nervous system disease	autonomic nervous system disease	EFO_0009532
117	Sensorineural hearing loss| unspecified	sensorineural hearing loss	EFO:1001176	34375979	UKB	237867.0	EUR	Population CC		560	sensorineural hearing loss| unspecified	sensorineural hearing loss	sensorineural hearing loss| unspecified	sensorineural hearing loss	sensorineural hearing loss	EFO_1001176
950	Postprocedural respiratory disorders| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	212886.0	EUR	Population CC		2530	postprocedural respiratory disorders| not elsewhere classified	respiratory system disease	postprocedural respiratory disorders| not elsewhere classified	respiratory system disease	respiratory system disease	EFO_0000684
85	Fracture of bone in neoplastic disease	bone fracture	EFO:0003931	34375979	UKB	215702.0	EUR	Population CC		487	fracture of bone in neoplastic disease	bone fracture	fracture of bone in neoplastic disease	bone fracture	bone fracture	EFO_0003931
439	Sequelae of cerebral infarction	cerebral infarction	MONDO:0002679	34375979	UKB	184765.0	EUR	Population CC		1314	sequelae of cerebral infarction	cerebral infarction	sequelae of cerebral infarction	cerebral infarction	cerebral infarction	MONDO_0002679
230	Rheumatic mitral valve diseases	mitral valve disease	EFO:0009557	34375979	UKB	269170.0	EUR	Population CC		763	rheumatic mitral valve diseases	mitral valve disease	rheumatic mitral valve diseases	mitral valve disease	mitral valve disease	EFO_0009557
1	Malunion of fracture	malunion fracture	EFO:0010684	34375979	UKB	229675.0	EUR	Population CC		25	malunion of fracture	malunion fracture	malunion of fracture	malunion fracture	malunion fracture	EFO_0010684
358	Other juvenile osteochondrosis	Juvenile Osteochondrosis	EFO:0008577	34375979	UKB	208563.0	EUR	Population CC		1094	other juvenile osteochondrosis	juvenile osteochondrosis	other juvenile osteochondrosis	juvenile osteochondrosis	juvenile osteochondrosis	EFO_0008577
727	Ventricular fibrillation and flutter	Ventricular flutter	HP:0011841	34375979	UKB	154077.0	EUR	Population CC		1900	ventricular fibrillation and flutter	ventricular flutter	ventricular fibrillation and flutter	ventricular flutter	ventricular flutter	HP_0011841
890	Multiple gestation	multiple gestation	EFO:0009576	34375979	UKB	146157.0	EUR	Population CC		2288	multiple gestation	multiple gestation	multiple gestation	multiple gestation	multiple gestation	EFO_0009576
210	Other disorders involving the immune mechanism| not elsewhere classified	immune system disease	EFO:0000540	34375979	UKB	233409.0	EUR	Population CC		730	other disorders involving the immune mechanism| not elsewhere classified	immune system disease	other disorders involving the immune mechanism| not elsewhere classified	immune system disease	immune system disease	EFO_0000540
350	Plantar fascial fibromatosis	Plantar Fibromatosis	EFO:1000481	34375979	UKB	235511.0	EUR	Population CC		1081	plantar fascial fibromatosis	plantar fibromatosis	plantar fascial fibromatosis	plantar fibromatosis	plantar fibromatosis	EFO_1000481
98	Mild cognitive disorder	cognitive disorder	MONDO:0002039	34375979	UKB	224103.0	EUR	Population CC		521	mild cognitive disorder	cognitive disorder	mild cognitive disorder	cognitive disorder	cognitive disorder	MONDO_0002039
502	Postoperative intestinal obstruction	intestinal obstruction	MONDO:0004565	34375979	UKB	208045.0	EUR	Population CC		1439	postoperative intestinal obstruction	intestinal obstruction	postoperative intestinal obstruction	intestinal obstruction	intestinal obstruction	MONDO_0004565
971	Other cervical disk displacement	Intervertebral Disc Displacement	EFO:1001800	34375979	UKB	269170.0	EUR	Population CC		2707	other cervical disk displacement	intervertebral disc displacement	other cervical disk displacement	intervertebral disc displacement	intervertebral disc displacement	EFO_1001800
571	Malignant neoplasm of other connective and soft tissue	connective and soft tissue neoplasm	MONDO:0044334	34375979	UKB	223269.0	EUR	Population CC		1575	malignant neoplasm of other connective and soft tissue	connective and soft tissue neoplasm	malignant neoplasm of other connective and soft tissue	connective and soft tissue neoplasm	connective and soft tissue neoplasm	MONDO_0044334
417	Inflammatory polyneuropathy	chronic inflammatory demyelinating polyneuropathy	EFO:0009538	34375979	UKB	225524.0	EUR	Population CC		1267	inflammatory polyneuropathy	chronic inflammatory demyelinating polyneuropathy	inflammatory polyneuropathy	chronic inflammatory demyelinating polyneuropathy	chronic inflammatory demyelinating polyneuropathy	EFO_0009538
666	Disorder of ligament	ligament disorder	MONDO:0045044	34375979	UKB	269170.0	EUR	Population CC		1789	disorder of ligament	ligament disorder	disorder of ligament	ligament disorder	ligament disorder	MONDO_0045044
858	Other viral agents as the cause of diseases classified to other chapters	respiratory system disease	EFO:0000684	34375979	UKB	244728.0	EUR	Population CC		2191	other viral agents as the cause of diseases classified to other chapters	respiratory system disease	other viral agents as the cause of diseases classified to other chapters	respiratory system disease	respiratory system disease	EFO_0000684
250	Pruritus| unspecified	Pruritus	HP:0000989	34375979	UKB	240690.0	EUR	Population CC		825	pruritus| unspecified	pruritus	pruritus| unspecified	pruritus	pruritus	HP_0000989
311	Cellulitis of face	cellulitis	EFO:0003035	34375979	UKB	242918.0	EUR	Population CC		944	cellulitis of face	cellulitis	cellulitis of face	cellulitis	cellulitis	EFO_0003035
566	Incisional hernia without obstruction or gangrene	Incisional hernia	HP:0004872	34375979	UKB	228180.0	EUR	Population CC		1569	incisional hernia without obstruction or gangrene	incisional hernia	incisional hernia without obstruction or gangrene	incisional hernia	incisional hernia	HP_0004872
477	Myelodysplastic syndromes	myelodysplastic syndrome	EFO:0000198	34375979	UKB	206382.0	EUR	Population CC		1378	myelodysplastic syndromes	myelodysplastic syndrome	myelodysplastic syndromes	myelodysplastic syndrome	myelodysplastic syndrome	EFO_0000198
962	Other female genital prolapse	prolapse of female genital organ	MONDO:0001592	34375979	UKB	146157.0	EUR	Population CC		2666	other female genital prolapse	prolapse of female genital organ	other female genital prolapse	prolapse of female genital organ	prolapse of female genital organ	MONDO_0001592
705	Resistance to methicillin	Methicillin-Resistant Staphylococcus Aureus Infection	EFO:0008555	34375979	UKB	231554.0	EUR	Population CC		1865	resistance to methicillin	methicillin-resistant staphylococcus aureus infection	resistance to methicillin	methicillin-resistant staphylococcus aureus infection	methicillin-resistant staphylococcus aureus infection	EFO_0008555
628	Osteonecrosis| unspecified	osteonecrosis	EFO:0004259	34375979	UKB	269170.0	EUR	Population CC		1714	osteonecrosis| unspecified	osteonecrosis	osteonecrosis| unspecified	osteonecrosis	osteonecrosis	EFO_0004259
463	Streptococcal septicaemia	streptococcal pneumonia	EFO:0007499	34375979	UKB	195805.0	EUR	Population CC		1349	streptococcal septicaemia	streptococcal pneumonia	streptococcal septicaemia	streptococcal pneumonia	streptococcal pneumonia	EFO_0007499
335	Sialoadenitis	sialadenitis	EFO:1001179	34375979	UKB	239865.0	EUR	Population CC		1047	sialoadenitis	sialadenitis	sialoadenitis	sialadenitis	sialadenitis	EFO_1001179
52	Dislocation of shoulder joint	Joint dislocation	HP:0001373	34375979	UKB	204823.0	EUR	Population CC		372	dislocation of shoulder joint	joint dislocation	dislocation of shoulder joint	joint dislocation	joint dislocation	HP_0001373
592	Localised swelling| mass and lump| neck	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		1648	localised swelling| mass and lump| neck	localized superficial swelling, mass, or lump	localised swelling| mass and lump| neck	localized superficial swelling, mass, or lump	localized superficial swelling, mass, or lump	EFO_0010683
763	Other specified haemorrhoids	anthrax infection	EFO:0000778	34375979	UKB	269170.0	EUR	Population CC		2004	other specified haemorrhoids	anthrax infection	other specified haemorrhoids	anthrax infection	anthrax infection	EFO_0000778
731	Status asthmaticus	Status Asthmaticus	EFO:0008590	34375979	UKB	269170.0	EUR	Population CC		1910	status asthmaticus	status asthmaticus	status asthmaticus	status asthmaticus	status asthmaticus	EFO_0008590
603	Fracture of upper end of radius	radius fracture	EFO:0003957	34375979	UKB	240475.0	EUR	Population CC		1673	fracture of upper end of radius	radius fracture	fracture of upper end of radius	radius fracture	radius fracture	EFO_0003957
728	Nonorganic sleep disorders	Sleep Disorder	EFO:0008568	34375979	UKB	269170.0	EUR	Population CC		1902	nonorganic sleep disorders	sleep disorder	nonorganic sleep disorders	sleep disorder	sleep disorder	EFO_0008568
564	Chronic viral hepatitis	chronic hepatitis	EFO:0008496	34375979	UKB	184519.0	EUR	Population CC		1567	chronic viral hepatitis	chronic hepatitis	chronic viral hepatitis	chronic hepatitis	chronic hepatitis	EFO_0008496
351	Asphyxia	asphyxia	EFO:0009446	34375979	UKB	222239.0	EUR	Population CC		1082	asphyxia	asphyxia	asphyxia	asphyxia	asphyxia	EFO_0009446
906	Malignant neoplasm of larynx	Malignant Laryngeal Neoplasm	EFO:1000354	34375979	UKB	145744.0	EUR	Population CC		2329	malignant neoplasm of larynx	malignant laryngeal neoplasm	malignant neoplasm of larynx	malignant laryngeal neoplasm	malignant laryngeal neoplasm	EFO_1000354
682	Fracture of metatarsal bone	bone fracture	EFO:0003931	34375979	UKB	242845.0	EUR	Population CC		1821	fracture of metatarsal bone	bone fracture	fracture of metatarsal bone	bone fracture	bone fracture	EFO_0003931
475	Myelodysplastic syndrome| unspecified	myelodysplastic syndrome	EFO:0000198	34375979	UKB	202316.0	EUR	Population CC		1375	myelodysplastic syndrome| unspecified	myelodysplastic syndrome	myelodysplastic syndrome| unspecified	myelodysplastic syndrome	myelodysplastic syndrome	EFO_0000198
474	Haemolytic anaemias	Congenital hemolytic anemia	HP:0004804	34375979	UKB	269170.0	EUR	Population CC		1364	haemolytic anaemias	congenital hemolytic anemia	haemolytic anaemias	congenital hemolytic anemia	congenital hemolytic anemia	HP_0004804
793	Undescended testicle	cryptorchidism	EFO:0004562	34375979	UKB	123013.0	EUR	Population CC		2070	undescended testicle	cryptorchidism	undescended testicle	cryptorchidism	cryptorchidism	EFO_0004562
782	Methicillin resistant agent	Methicillin-Resistant Staphylococcus Aureus Infection	EFO:0008555	34375979	UKB	224359.0	EUR	Population CC		2048	methicillin resistant agent	methicillin-resistant staphylococcus aureus infection	methicillin resistant agent	methicillin-resistant staphylococcus aureus infection	methicillin-resistant staphylococcus aureus infection	EFO_0008555
505	Chronic tonsillitis	Recurrent tonsillitis	HP:0011110	34375979	UKB	236952.0	EUR	Population CC		1448	chronic tonsillitis	recurrent tonsillitis	chronic tonsillitis	recurrent tonsillitis	recurrent tonsillitis	HP_0011110
772	Chronic laryngitis and laryngotracheitis	croup	EFO:0007227	34375979	UKB	235475.0	EUR	Population CC		2027	chronic laryngitis and laryngotracheitis	croup	chronic laryngitis and laryngotracheitis	croup	croup	EFO_0007227
529	Localised swelling| mass and lump| head	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		1499	localised swelling| mass and lump| head	localized superficial swelling, mass, or lump	localised swelling| mass and lump| head	localized superficial swelling, mass, or lump	localized superficial swelling, mass, or lump	EFO_0010683
684	Peritonitis| unspecified	peritonitis	EFO:0008588	34375979	UKB	237025.0	EUR	Population CC		1823	peritonitis| unspecified	peritonitis	peritonitis| unspecified	peritonitis	peritonitis	EFO_0008588
721	Male infertility	male infertility	EFO:0004248	34375979	UKB	124192.0	EUR	Population CC		1892	male infertility	male infertility	male infertility	male infertility	male infertility	EFO_0004248
48	Benign lipomatous neoplasm of other sites	benign lipomatous neoplasm	MONDO:0044983	34375979	UKB	269170.0	EUR	Population CC		365	benign lipomatous neoplasm of other sites	benign lipomatous neoplasm	benign lipomatous neoplasm of other sites	benign lipomatous neoplasm	benign lipomatous neoplasm	MONDO_0044983
388	Malignant neoplasm of small intestine	small intestine cancer	MONDO:0000956	34375979	UKB	218767.0	EUR	Population CC		1161	malignant neoplasm of small intestine	small intestine cancer	malignant neoplasm of small intestine	small intestine cancer	small intestine cancer	MONDO_0000956
756	Other specific joint derangements| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	239236.0	EUR	Population CC		1993	other specific joint derangements| not elsewhere classified	respiratory system disease	other specific joint derangements| not elsewhere classified	respiratory system disease	respiratory system disease	EFO_0000684
689	Diseases of bronchus| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	269170.0	EUR	Population CC		1830	diseases of bronchus| not elsewhere classified	respiratory system disease	diseases of bronchus| not elsewhere classified	respiratory system disease	respiratory system disease	EFO_0000684
167	Threatened abortion	abortion	EFO:1001491	34375979	UKB	146157.0	EUR	Population CC		656	threatened abortion	abortion	threatened abortion	abortion	abortion	EFO_1001491
774	Impacted cerumen	Impacted tooth	HP:0011079	34375979	UKB	269170.0	EUR	Population CC		2032	impacted cerumen	impacted tooth	impacted cerumen	impacted tooth	impacted tooth	HP_0011079
161	Other specified menopausal and perimenopausal disorders	postmenopausal osteoporosis	EFO:0003854	34375979	UKB	146157.0	EUR	Population CC		645	other specified menopausal and perimenopausal disorders	postmenopausal osteoporosis	other specified menopausal and perimenopausal disorders	postmenopausal osteoporosis	postmenopausal osteoporosis	EFO_0003854
24	Moderate cervical dysplasia	dysplasia of cervix	EFO:1000910	34375979	UKB	146157.0	EUR	Population CC		285	moderate cervical dysplasia	dysplasia of cervix	moderate cervical dysplasia	dysplasia of cervix	dysplasia of cervix	EFO_1000910
